|dates|Buchanan_Iowa_UnitedStates.BLS_EmployedPopulation.data|Buchanan_Iowa_UnitedStates.BLS_EmployedPopulation.missing|Buchanan_Iowa_UnitedStates.BLS_UnemployedPopulation.data|Buchanan_Iowa_UnitedStates.BLS_UnemployedPopulation.missing|Buchanan_Iowa_UnitedStates.BLS_UnemploymentRate.data|Buchanan_Iowa_UnitedStates.BLS_UnemploymentRate.missing|Buchanan_Iowa_UnitedStates.BLS_LaborForcePopulation.data|Buchanan_Iowa_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-10-18|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-10-19|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-10-20|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-10-21|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-10-22|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-10-23|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-10-24|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-10-25|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-10-26|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-10-27|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-10-28|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-10-29|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-10-30|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-10-31|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-11-01|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-11-02|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-11-03|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-11-04|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-11-05|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-11-06|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-11-07|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-11-08|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-11-09|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-11-10|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-11-11|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-11-12|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-11-13|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-11-14|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-11-15|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-11-16|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-11-17|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-11-18|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-11-19|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-11-20|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-11-21|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-11-22|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-11-23|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-11-24|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-11-25|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-11-26|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-11-27|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-11-28|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-11-29|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-11-30|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-12-01|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-12-02|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-12-03|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-12-04|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-12-05|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-12-06|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-12-07|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-12-08|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-12-09|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-12-10|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-12-11|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-12-12|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-12-13|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-12-14|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-12-15|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-12-16|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-12-17|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-12-18|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-12-19|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-12-20|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-12-21|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-12-22|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-12-23|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-12-24|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-12-25|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-12-26|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-12-27|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-12-28|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-12-29|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-12-30|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2021-12-31|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2022-01-01|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2022-01-02|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2022-01-03|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2022-01-04|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2022-01-05|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2022-01-06|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2022-01-07|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2022-01-08|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2022-01-09|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2022-01-10|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2022-01-11|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2022-01-12|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2022-01-13|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2022-01-14|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2022-01-15|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2022-01-16|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
0|2022-01-17|10632.0|0|369.0|0|3.3542405235887647|0|11001.0|0
