|dates|Potter_Texas_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.data|Potter_Texas_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.missing|Potter_Texas_UnitedStates.NYT_ConfirmedDeaths.data|Potter_Texas_UnitedStates.NYT_ConfirmedDeaths.missing|Potter_Texas_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.data|Potter_Texas_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.missing|Potter_Texas_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.data|Potter_Texas_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.missing
0|2021-10-17|0.0|100|543.0|0|0.0|100|0.0|100
0|2021-10-18|0.0|100|543.0|0|0.0|100|0.0|100
0|2021-10-19|0.0|100|544.0|0|0.0|100|0.0|100
0|2021-10-20|0.0|100|544.0|0|0.0|100|0.0|100
0|2021-10-21|0.0|100|544.0|0|0.0|100|0.0|100
0|2021-10-22|0.0|100|544.0|0|0.0|100|0.0|100
0|2021-10-23|0.0|100|544.0|0|0.0|100|0.0|100
0|2021-10-24|0.0|100|544.0|0|0.0|100|0.0|100
0|2021-10-25|0.0|100|544.0|0|0.0|100|0.0|100
0|2021-10-26|0.0|100|545.0|0|0.0|100|0.0|100
0|2021-10-27|0.0|100|545.0|0|0.0|100|0.0|100
0|2021-10-28|0.0|100|547.0|0|0.0|100|0.0|100
0|2021-10-29|0.0|100|547.0|0|0.0|100|0.0|100
0|2021-10-30|0.0|100|547.0|0|0.0|100|0.0|100
0|2021-10-31|0.0|100|547.0|0|0.0|100|0.0|100
0|2021-11-01|0.0|100|549.0|0|0.0|100|0.0|100
0|2021-11-02|0.0|100|551.0|0|0.0|100|0.0|100
0|2021-11-03|0.0|100|552.0|0|0.0|100|0.0|100
0|2021-11-04|0.0|100|552.0|0|0.0|100|0.0|100
0|2021-11-05|0.0|100|552.0|0|0.0|100|0.0|100
0|2021-11-06|0.0|100|552.0|0|0.0|100|0.0|100
0|2021-11-07|0.0|100|552.0|0|0.0|100|0.0|100
0|2021-11-08|0.0|100|552.0|0|0.0|100|0.0|100
0|2021-11-09|0.0|100|555.0|0|0.0|100|0.0|100
0|2021-11-10|0.0|100|556.0|0|0.0|100|0.0|100
0|2021-11-11|0.0|100|556.0|0|0.0|100|0.0|100
0|2021-11-12|0.0|100|557.0|0|0.0|100|0.0|100
0|2021-11-13|0.0|100|557.0|0|0.0|100|0.0|100
0|2021-11-14|0.0|100|557.0|0|0.0|100|0.0|100
0|2021-11-15|0.0|100|557.0|0|0.0|100|0.0|100
0|2021-11-16|0.0|100|557.0|0|0.0|100|0.0|100
0|2021-11-17|0.0|100|561.0|0|0.0|100|0.0|100
0|2021-11-18|0.0|100|561.0|0|0.0|100|0.0|100
0|2021-11-19|0.0|100|563.0|0|0.0|100|0.0|100
0|2021-11-20|0.0|100|563.0|0|0.0|100|0.0|100
0|2021-11-21|0.0|100|563.0|0|0.0|100|0.0|100
0|2021-11-22|0.0|100|563.0|0|0.0|100|0.0|100
0|2021-11-23|0.0|100|564.0|0|0.0|100|0.0|100
0|2021-11-24|0.0|100|565.0|0|0.0|100|0.0|100
0|2021-11-25|0.0|100|565.0|0|0.0|100|0.0|100
0|2021-11-26|0.0|100|565.0|0|0.0|100|0.0|100
