|dates|Bibb_Georgia_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Bibb_Georgia_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Bibb_Georgia_UnitedStates.Male_Total_Population.data|Bibb_Georgia_UnitedStates.Male_Total_Population.missing|Bibb_Georgia_UnitedStates.Female_Total_Population.data|Bibb_Georgia_UnitedStates.Female_Total_Population.missing|Bibb_Georgia_UnitedStates.MaleAndFemale_Under18_Population.data|Bibb_Georgia_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-12|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-11-13|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-11-14|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-11-15|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-11-16|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-11-17|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-11-18|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-11-19|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-11-20|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-11-21|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-11-22|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-11-23|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-11-24|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-11-25|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-11-26|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-11-27|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-11-28|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-11-29|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-11-30|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-12-01|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-12-02|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-12-03|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-12-04|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-12-05|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-12-06|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-12-07|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-12-08|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-12-09|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-12-10|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-12-11|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-12-12|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-12-13|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-12-14|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-12-15|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-12-16|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-12-17|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-12-18|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-12-19|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-12-20|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-12-21|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-12-22|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-12-23|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-12-24|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-12-25|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-12-26|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-12-27|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-12-28|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-12-29|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-12-30|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-12-31|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2022-01-01|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2022-01-02|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2022-01-03|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2022-01-04|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2022-01-05|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2022-01-06|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2022-01-07|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2022-01-08|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2022-01-09|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2022-01-10|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2022-01-11|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2022-01-12|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2022-01-13|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2022-01-14|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2022-01-15|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2022-01-16|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2022-01-17|23876.0|0|71847.0|0|81248.0|0|37623.0|0
