|dates|Macomb_Michigan_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.data|Macomb_Michigan_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.missing|Macomb_Michigan_UnitedStates.NYT_ConfirmedDeaths.data|Macomb_Michigan_UnitedStates.NYT_ConfirmedDeaths.missing|Macomb_Michigan_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.data|Macomb_Michigan_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.missing|Macomb_Michigan_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.data|Macomb_Michigan_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.missing
0|2021-10-17|0.0|100|2648.0|0|0.0|100|0.0|100
0|2021-10-18|0.0|100|2651.0|0|0.0|100|0.0|100
0|2021-10-19|0.0|100|2651.0|0|0.0|100|0.0|100
0|2021-10-20|0.0|100|2660.0|0|0.0|100|0.0|100
0|2021-10-21|0.0|100|2660.0|0|0.0|100|0.0|100
0|2021-10-22|0.0|100|2670.0|0|0.0|100|0.0|100
0|2021-10-23|0.0|100|2670.0|0|0.0|100|0.0|100
0|2021-10-24|0.0|100|2670.0|0|0.0|100|0.0|100
0|2021-10-25|0.0|100|2674.0|0|0.0|100|0.0|100
0|2021-10-26|0.0|100|2674.0|0|0.0|100|0.0|100
0|2021-10-27|0.0|100|2687.0|0|0.0|100|0.0|100
0|2021-10-28|0.0|100|2687.0|0|0.0|100|0.0|100
0|2021-10-29|0.0|100|2704.0|0|0.0|100|0.0|100
0|2021-10-30|0.0|100|2704.0|0|0.0|100|0.0|100
0|2021-10-31|0.0|100|2704.0|0|0.0|100|0.0|100
0|2021-11-01|0.0|100|2713.0|0|0.0|100|0.0|100
0|2021-11-02|0.0|100|2713.0|0|0.0|100|0.0|100
0|2021-11-03|0.0|100|2724.0|0|0.0|100|0.0|100
0|2021-11-04|0.0|100|2724.0|0|0.0|100|0.0|100
0|2021-11-05|0.0|100|2738.0|0|0.0|100|0.0|100
0|2021-11-06|0.0|100|2738.0|0|0.0|100|0.0|100
0|2021-11-07|0.0|100|2738.0|0|0.0|100|0.0|100
0|2021-11-08|0.0|100|2741.0|0|0.0|100|0.0|100
0|2021-11-09|0.0|100|2741.0|0|0.0|100|0.0|100
0|2021-11-10|0.0|100|2758.0|0|0.0|100|0.0|100
0|2021-11-11|0.0|100|2758.0|0|0.0|100|0.0|100
0|2021-11-12|0.0|100|2769.0|0|0.0|100|0.0|100
0|2021-11-13|0.0|100|2769.0|0|0.0|100|0.0|100
0|2021-11-14|0.0|100|2769.0|0|0.0|100|0.0|100
0|2021-11-15|0.0|100|2774.0|0|0.0|100|0.0|100
0|2021-11-16|0.0|100|2774.0|0|0.0|100|0.0|100
0|2021-11-17|0.0|100|2799.0|0|0.0|100|0.0|100
