|dates|Duplin_NorthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Duplin_NorthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Duplin_NorthCarolina_UnitedStates.Male_Total_Population.data|Duplin_NorthCarolina_UnitedStates.Male_Total_Population.missing|Duplin_NorthCarolina_UnitedStates.Female_Total_Population.data|Duplin_NorthCarolina_UnitedStates.Female_Total_Population.missing|Duplin_NorthCarolina_UnitedStates.MaleAndFemale_Under18_Population.data|Duplin_NorthCarolina_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-10-18|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-10-19|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-10-20|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-10-21|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-10-22|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-10-23|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-10-24|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-10-25|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-10-26|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-10-27|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-10-28|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-10-29|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-10-30|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-10-31|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-11-01|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-11-02|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-11-03|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-11-04|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-11-05|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-11-06|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-11-07|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-11-08|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-11-09|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-11-10|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-11-11|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-11-12|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-11-13|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-11-14|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-11-15|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-11-16|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-11-17|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-11-18|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-11-19|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-11-20|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-11-21|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-11-22|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-11-23|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-11-24|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-11-25|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-11-26|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-11-27|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-11-28|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-11-29|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-11-30|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-12-01|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-12-02|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-12-03|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-12-04|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-12-05|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-12-06|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-12-07|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-12-08|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-12-09|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-12-10|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-12-11|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-12-12|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-12-13|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-12-14|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-12-15|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-12-16|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-12-17|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-12-18|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-12-19|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-12-20|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-12-21|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-12-22|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-12-23|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-12-24|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-12-25|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-12-26|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-12-27|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-12-28|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-12-29|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-12-30|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2021-12-31|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2022-01-01|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2022-01-02|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2022-01-03|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2022-01-04|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2022-01-05|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2022-01-06|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2022-01-07|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2022-01-08|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2022-01-09|11006.0|0|28664.0|0|30192.0|0|13962.0|0
0|2022-01-10|11006.0|0|28664.0|0|30192.0|0|13962.0|0
