|dates|Mercer_Kentucky_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Mercer_Kentucky_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Mercer_Kentucky_UnitedStates.Male_Total_Population.data|Mercer_Kentucky_UnitedStates.Male_Total_Population.missing|Mercer_Kentucky_UnitedStates.Female_Total_Population.data|Mercer_Kentucky_UnitedStates.Female_Total_Population.missing|Mercer_Kentucky_UnitedStates.MaleAndFemale_Under18_Population.data|Mercer_Kentucky_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-10-18|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-10-19|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-10-20|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-10-21|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-10-22|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-10-23|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-10-24|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-10-25|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-10-26|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-10-27|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-10-28|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-10-29|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-10-30|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-10-31|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-11-01|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-11-02|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-11-03|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-11-04|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-11-05|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-11-06|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-11-07|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-11-08|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-11-09|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-11-10|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-11-11|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-11-12|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-11-13|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-11-14|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-11-15|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-11-16|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-11-17|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-11-18|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-11-19|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-11-20|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-11-21|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-11-22|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-11-23|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-11-24|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-11-25|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-11-26|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-11-27|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-11-28|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-11-29|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-11-30|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-12-01|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-12-02|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-12-03|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-12-04|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-12-05|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-12-06|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-12-07|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-12-08|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-12-09|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-12-10|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-12-11|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-12-12|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-12-13|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-12-14|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-12-15|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-12-16|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-12-17|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-12-18|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-12-19|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-12-20|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-12-21|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-12-22|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-12-23|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-12-24|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-12-25|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-12-26|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-12-27|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-12-28|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-12-29|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-12-30|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2021-12-31|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2022-01-01|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2022-01-02|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2022-01-03|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2022-01-04|4089.0|0|10683.0|0|11091.0|0|4787.0|0
0|2022-01-05|4089.0|0|10683.0|0|11091.0|0|4787.0|0
