|dates|Madison_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Madison_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Madison_Nebraska_UnitedStates.Male_Total_Population.data|Madison_Nebraska_UnitedStates.Male_Total_Population.missing|Madison_Nebraska_UnitedStates.Female_Total_Population.data|Madison_Nebraska_UnitedStates.Female_Total_Population.missing|Madison_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.data|Madison_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-17|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-11-18|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-11-19|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-11-20|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-11-21|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-11-22|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-11-23|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-11-24|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-11-25|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-11-26|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-11-27|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-11-28|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-11-29|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-11-30|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-12-01|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-12-02|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-12-03|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-12-04|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-12-05|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-12-06|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-12-07|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-12-08|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-12-09|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-12-10|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-12-11|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-12-12|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-12-13|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-12-14|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-12-15|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-12-16|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-12-17|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-12-18|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-12-19|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-12-20|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-12-21|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-12-22|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-12-23|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-12-24|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-12-25|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-12-26|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-12-27|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-12-28|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-12-29|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-12-30|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-12-31|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2022-01-01|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2022-01-02|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2022-01-03|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2022-01-04|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2022-01-05|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2022-01-06|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2022-01-07|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2022-01-08|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2022-01-09|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2022-01-10|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2022-01-11|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2022-01-12|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2022-01-13|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2022-01-14|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2022-01-15|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2022-01-16|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2022-01-17|5643.0|0|17509.0|0|17883.0|0|8969.0|0
