|dates|Bay_Michigan_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Bay_Michigan_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Bay_Michigan_UnitedStates.Male_Total_Population.data|Bay_Michigan_UnitedStates.Male_Total_Population.missing|Bay_Michigan_UnitedStates.Female_Total_Population.data|Bay_Michigan_UnitedStates.Female_Total_Population.missing|Bay_Michigan_UnitedStates.MaleAndFemale_Under18_Population.data|Bay_Michigan_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-10-18|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-10-19|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-10-20|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-10-21|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-10-22|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-10-23|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-10-24|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-10-25|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-10-26|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-10-27|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-10-28|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-10-29|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-10-30|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-10-31|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-11-01|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-11-02|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-11-03|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-11-04|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-11-05|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-11-06|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-11-07|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-11-08|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-11-09|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-11-10|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-11-11|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-11-12|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-11-13|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-11-14|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-11-15|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-11-16|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-11-17|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-11-18|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-11-19|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-11-20|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-11-21|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-11-22|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-11-23|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-11-24|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-11-25|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-11-26|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-11-27|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-11-28|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-11-29|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-11-30|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-12-01|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-12-02|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-12-03|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-12-04|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-12-05|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-12-06|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-12-07|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-12-08|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-12-09|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-12-10|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-12-11|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-12-12|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-12-13|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-12-14|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-12-15|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-12-16|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-12-17|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-12-18|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-12-19|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-12-20|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-12-21|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-12-22|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-12-23|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-12-24|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-12-25|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-12-26|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-12-27|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-12-28|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-12-29|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-12-30|21195.0|0|51068.0|0|52855.0|0|21084.0|0
0|2021-12-31|21195.0|0|51068.0|0|52855.0|0|21084.0|0
