|dates|Crittenden_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Crittenden_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Crittenden_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Crittenden_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Crittenden_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Crittenden_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Crittenden_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Crittenden_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-10-18|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-10-19|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-10-20|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-10-21|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-10-22|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-10-23|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-10-24|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-10-25|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-10-26|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-10-27|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-10-28|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-10-29|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-10-30|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-10-31|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-11-01|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-11-02|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-11-03|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-11-04|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-11-05|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-11-06|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-11-07|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-11-08|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-11-09|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-11-10|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-11-11|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-11-12|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-11-13|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-11-14|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-11-15|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-11-16|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-11-17|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-11-18|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-11-19|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-11-20|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-11-21|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-11-22|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-11-23|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-11-24|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-11-25|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-11-26|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-11-27|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-11-28|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-11-29|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-11-30|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-12-01|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-12-02|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-12-03|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-12-04|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-12-05|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-12-06|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-12-07|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-12-08|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-12-09|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-12-10|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-12-11|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-12-12|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-12-13|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-12-14|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-12-15|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-12-16|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-12-17|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-12-18|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-12-19|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-12-20|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-12-21|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-12-22|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-12-23|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-12-24|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-12-25|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-12-26|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-12-27|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-12-28|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-12-29|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-12-30|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2021-12-31|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2022-01-01|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2022-01-02|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2022-01-03|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2022-01-04|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2022-01-05|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2022-01-06|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2022-01-07|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2022-01-08|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2022-01-09|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2022-01-10|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2022-01-11|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2022-01-12|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2022-01-13|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2022-01-14|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
0|2022-01-15|3395.0|0|130.0|0|3.6879432624113475|0|3525.0|0
