|dates|Mercer_WestVirginia_UnitedStates.BLS_EmployedPopulation.data|Mercer_WestVirginia_UnitedStates.BLS_EmployedPopulation.missing|Mercer_WestVirginia_UnitedStates.BLS_UnemployedPopulation.data|Mercer_WestVirginia_UnitedStates.BLS_UnemployedPopulation.missing|Mercer_WestVirginia_UnitedStates.BLS_UnemploymentRate.data|Mercer_WestVirginia_UnitedStates.BLS_UnemploymentRate.missing|Mercer_WestVirginia_UnitedStates.BLS_LaborForcePopulation.data|Mercer_WestVirginia_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-10-18|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-10-19|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-10-20|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-10-21|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-10-22|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-10-23|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-10-24|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-10-25|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-10-26|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-10-27|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-10-28|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-10-29|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-10-30|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-10-31|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-11-01|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-11-02|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-11-03|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-11-04|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-11-05|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-11-06|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-11-07|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-11-08|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-11-09|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-11-10|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-11-11|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-11-12|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-11-13|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-11-14|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-11-15|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-11-16|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-11-17|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-11-18|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-11-19|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-11-20|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-11-21|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-11-22|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-11-23|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-11-24|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-11-25|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-11-26|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-11-27|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-11-28|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-11-29|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-11-30|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-12-01|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-12-02|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-12-03|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-12-04|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-12-05|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-12-06|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-12-07|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-12-08|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-12-09|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-12-10|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-12-11|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-12-12|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-12-13|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-12-14|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-12-15|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-12-16|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-12-17|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-12-18|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-12-19|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-12-20|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-12-21|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-12-22|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-12-23|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-12-24|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-12-25|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-12-26|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-12-27|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-12-28|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-12-29|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-12-30|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2021-12-31|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2022-01-01|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2022-01-02|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2022-01-03|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2022-01-04|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2022-01-05|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2022-01-06|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2022-01-07|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2022-01-08|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2022-01-09|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2022-01-10|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2022-01-11|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2022-01-12|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2022-01-13|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2022-01-14|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2022-01-15|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2022-01-16|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
0|2022-01-17|19306.0|0|1419.0|0|6.8468033775633295|0|20725.0|0
