|dates|Okaloosa_Florida_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Okaloosa_Florida_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Okaloosa_Florida_UnitedStates.Male_Total_Population.data|Okaloosa_Florida_UnitedStates.Male_Total_Population.missing|Okaloosa_Florida_UnitedStates.Female_Total_Population.data|Okaloosa_Florida_UnitedStates.Female_Total_Population.missing|Okaloosa_Florida_UnitedStates.MaleAndFemale_Under18_Population.data|Okaloosa_Florida_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-10-18|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-10-19|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-10-20|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-10-21|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-10-22|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-10-23|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-10-24|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-10-25|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-10-26|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-10-27|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-10-28|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-10-29|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-10-30|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-10-31|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-11-01|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-11-02|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-11-03|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-11-04|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-11-05|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-11-06|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-11-07|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-11-08|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-11-09|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-11-10|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-11-11|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-11-12|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-11-13|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-11-14|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-11-15|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-11-16|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-11-17|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-11-18|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-11-19|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-11-20|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-11-21|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-11-22|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-11-23|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-11-24|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-11-25|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-11-26|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-11-27|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-11-28|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-11-29|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-11-30|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-12-01|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-12-02|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-12-03|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-12-04|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-12-05|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-12-06|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-12-07|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-12-08|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-12-09|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-12-10|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-12-11|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-12-12|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-12-13|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-12-14|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-12-15|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-12-16|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-12-17|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-12-18|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-12-19|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-12-20|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-12-21|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-12-22|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-12-23|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-12-24|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-12-25|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-12-26|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-12-27|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-12-28|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-12-29|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-12-30|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2021-12-31|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2022-01-01|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2022-01-02|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2022-01-03|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2022-01-04|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2022-01-05|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2022-01-06|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2022-01-07|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2022-01-08|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2022-01-09|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2022-01-10|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2022-01-11|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2022-01-12|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2022-01-13|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2022-01-14|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2022-01-15|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2022-01-16|33189.0|0|104997.0|0|102272.0|0|46083.0|0
0|2022-01-17|33189.0|0|104997.0|0|102272.0|0|46083.0|0
