|dates|Minidoka_Idaho_UnitedStates.BLS_EmployedPopulation.data|Minidoka_Idaho_UnitedStates.BLS_EmployedPopulation.missing|Minidoka_Idaho_UnitedStates.BLS_UnemployedPopulation.data|Minidoka_Idaho_UnitedStates.BLS_UnemployedPopulation.missing|Minidoka_Idaho_UnitedStates.BLS_UnemploymentRate.data|Minidoka_Idaho_UnitedStates.BLS_UnemploymentRate.missing|Minidoka_Idaho_UnitedStates.BLS_LaborForcePopulation.data|Minidoka_Idaho_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-10-18|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-10-19|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-10-20|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-10-21|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-10-22|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-10-23|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-10-24|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-10-25|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-10-26|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-10-27|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-10-28|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-10-29|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-10-30|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-10-31|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-11-01|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-11-02|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-11-03|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-11-04|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-11-05|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-11-06|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-11-07|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-11-08|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-11-09|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-11-10|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-11-11|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-11-12|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-11-13|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-11-14|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-11-15|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-11-16|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-11-17|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-11-18|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-11-19|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-11-20|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-11-21|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-11-22|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-11-23|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-11-24|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-11-25|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-11-26|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-11-27|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-11-28|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-11-29|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-11-30|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-12-01|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-12-02|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-12-03|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-12-04|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-12-05|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-12-06|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-12-07|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-12-08|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-12-09|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-12-10|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-12-11|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-12-12|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-12-13|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-12-14|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-12-15|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-12-16|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-12-17|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-12-18|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-12-19|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-12-20|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-12-21|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-12-22|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-12-23|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-12-24|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-12-25|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-12-26|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-12-27|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-12-28|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-12-29|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-12-30|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2021-12-31|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2022-01-01|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2022-01-02|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2022-01-03|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2022-01-04|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2022-01-05|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2022-01-06|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2022-01-07|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2022-01-08|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2022-01-09|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2022-01-10|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2022-01-11|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2022-01-12|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2022-01-13|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2022-01-14|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2022-01-15|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2022-01-16|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
0|2022-01-17|11480.0|0|305.0|0|2.588035638523547|0|11785.0|0
