|dates|Lee_Mississippi_UnitedStates.BLS_EmployedPopulation.data|Lee_Mississippi_UnitedStates.BLS_EmployedPopulation.missing|Lee_Mississippi_UnitedStates.BLS_UnemployedPopulation.data|Lee_Mississippi_UnitedStates.BLS_UnemployedPopulation.missing|Lee_Mississippi_UnitedStates.BLS_UnemploymentRate.data|Lee_Mississippi_UnitedStates.BLS_UnemploymentRate.missing|Lee_Mississippi_UnitedStates.BLS_LaborForcePopulation.data|Lee_Mississippi_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-10-18|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-10-19|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-10-20|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-10-21|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-10-22|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-10-23|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-10-24|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-10-25|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-10-26|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-10-27|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-10-28|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-10-29|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-10-30|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-10-31|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-11-01|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-11-02|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-11-03|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-11-04|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-11-05|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-11-06|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-11-07|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-11-08|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-11-09|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-11-10|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-11-11|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-11-12|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-11-13|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-11-14|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-11-15|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-11-16|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-11-17|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-11-18|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-11-19|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-11-20|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-11-21|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-11-22|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-11-23|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-11-24|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-11-25|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-11-26|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-11-27|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-11-28|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-11-29|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-11-30|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-12-01|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-12-02|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-12-03|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-12-04|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-12-05|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-12-06|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-12-07|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-12-08|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-12-09|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-12-10|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-12-11|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-12-12|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-12-13|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-12-14|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-12-15|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-12-16|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-12-17|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-12-18|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-12-19|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-12-20|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-12-21|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-12-22|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-12-23|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-12-24|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-12-25|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-12-26|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
0|2021-12-27|38888.0|0|2102.0|0|5.128080019516955|0|40990.0|0
