|dates|Wood_Texas_UnitedStates.BLS_EmployedPopulation.data|Wood_Texas_UnitedStates.BLS_EmployedPopulation.missing|Wood_Texas_UnitedStates.BLS_UnemployedPopulation.data|Wood_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Wood_Texas_UnitedStates.BLS_UnemploymentRate.data|Wood_Texas_UnitedStates.BLS_UnemploymentRate.missing|Wood_Texas_UnitedStates.BLS_LaborForcePopulation.data|Wood_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-10-18|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-10-19|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-10-20|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-10-21|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-10-22|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-10-23|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-10-24|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-10-25|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-10-26|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-10-27|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-10-28|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-10-29|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-10-30|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-10-31|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-11-01|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-11-02|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-11-03|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-11-04|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-11-05|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-11-06|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-11-07|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-11-08|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-11-09|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-11-10|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-11-11|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-11-12|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-11-13|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-11-14|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-11-15|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-11-16|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-11-17|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-11-18|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-11-19|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-11-20|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-11-21|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-11-22|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-11-23|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-11-24|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-11-25|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-11-26|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-11-27|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-11-28|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-11-29|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-11-30|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-12-01|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-12-02|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-12-03|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-12-04|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-12-05|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-12-06|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-12-07|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-12-08|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-12-09|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-12-10|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-12-11|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-12-12|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-12-13|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-12-14|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-12-15|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-12-16|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-12-17|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-12-18|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-12-19|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-12-20|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-12-21|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-12-22|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-12-23|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-12-24|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-12-25|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-12-26|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-12-27|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-12-28|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-12-29|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-12-30|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2021-12-31|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2022-01-01|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2022-01-02|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2022-01-03|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2022-01-04|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2022-01-05|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2022-01-06|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2022-01-07|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2022-01-08|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2022-01-09|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2022-01-10|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2022-01-11|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
0|2022-01-12|17204.0|0|1019.0|0|5.591834494869121|0|18223.0|0
