|dates|Bradford_Pennsylvania_UnitedStates.BLS_EmployedPopulation.data|Bradford_Pennsylvania_UnitedStates.BLS_EmployedPopulation.missing|Bradford_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.data|Bradford_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.missing|Bradford_Pennsylvania_UnitedStates.BLS_UnemploymentRate.data|Bradford_Pennsylvania_UnitedStates.BLS_UnemploymentRate.missing|Bradford_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.data|Bradford_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-10-18|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-10-19|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-10-20|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-10-21|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-10-22|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-10-23|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-10-24|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-10-25|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-10-26|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-10-27|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-10-28|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-10-29|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-10-30|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-10-31|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-11-01|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-11-02|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-11-03|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-11-04|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-11-05|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-11-06|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-11-07|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-11-08|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-11-09|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-11-10|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-11-11|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-11-12|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-11-13|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-11-14|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-11-15|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-11-16|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-11-17|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-11-18|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-11-19|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-11-20|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-11-21|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-11-22|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-11-23|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-11-24|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-11-25|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-11-26|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-11-27|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-11-28|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-11-29|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-11-30|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-12-01|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-12-02|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-12-03|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-12-04|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-12-05|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-12-06|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-12-07|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-12-08|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-12-09|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-12-10|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-12-11|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-12-12|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-12-13|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-12-14|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-12-15|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-12-16|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-12-17|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-12-18|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-12-19|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-12-20|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-12-21|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-12-22|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-12-23|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-12-24|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-12-25|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-12-26|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-12-27|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-12-28|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-12-29|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-12-30|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2021-12-31|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2022-01-01|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2022-01-02|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2022-01-03|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2022-01-04|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2022-01-05|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2022-01-06|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2022-01-07|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2022-01-08|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2022-01-09|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2022-01-10|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2022-01-11|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2022-01-12|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2022-01-13|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2022-01-14|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2022-01-15|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2022-01-16|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
0|2022-01-17|26603.0|0|1369.0|0|4.894179894179894|0|27972.0|0
