|dates|Hillsborough_NewHampshire_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.data|Hillsborough_NewHampshire_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.missing|Hillsborough_NewHampshire_UnitedStates.NYT_ConfirmedDeaths.data|Hillsborough_NewHampshire_UnitedStates.NYT_ConfirmedDeaths.missing|Hillsborough_NewHampshire_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.data|Hillsborough_NewHampshire_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.missing|Hillsborough_NewHampshire_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.data|Hillsborough_NewHampshire_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.missing
0|2021-10-17|0.0|100|671.0|0|0.0|100|0.0|100
0|2021-10-18|0.0|100|672.0|0|0.0|100|0.0|100
0|2021-10-19|0.0|100|674.0|0|0.0|100|0.0|100
0|2021-10-20|0.0|100|675.0|0|0.0|100|0.0|100
0|2021-10-21|0.0|100|676.0|0|0.0|100|0.0|100
0|2021-10-22|0.0|100|676.0|0|0.0|100|0.0|100
0|2021-10-23|0.0|100|676.0|0|0.0|100|0.0|100
0|2021-10-24|0.0|100|676.0|0|0.0|100|0.0|100
0|2021-10-25|0.0|100|676.0|0|0.0|100|0.0|100
0|2021-10-26|0.0|100|676.0|0|0.0|100|0.0|100
0|2021-10-27|0.0|100|677.0|0|0.0|100|0.0|100
0|2021-10-28|0.0|100|677.0|0|0.0|100|0.0|100
0|2021-10-29|0.0|100|677.0|0|0.0|100|0.0|100
0|2021-10-30|0.0|100|677.0|0|0.0|100|0.0|100
0|2021-10-31|0.0|100|677.0|0|0.0|100|0.0|100
0|2021-11-01|0.0|100|685.0|0|0.0|100|0.0|100
0|2021-11-02|0.0|100|686.0|0|0.0|100|0.0|100
0|2021-11-03|0.0|100|687.0|0|0.0|100|0.0|100
0|2021-11-04|0.0|100|689.0|0|0.0|100|0.0|100
0|2021-11-05|0.0|100|690.0|0|0.0|100|0.0|100
0|2021-11-06|0.0|100|690.0|0|0.0|100|0.0|100
0|2021-11-07|0.0|100|690.0|0|0.0|100|0.0|100
0|2021-11-08|0.0|100|690.0|0|0.0|100|0.0|100
0|2021-11-09|0.0|100|693.0|0|0.0|100|0.0|100
0|2021-11-10|0.0|100|695.0|0|0.0|100|0.0|100
0|2021-11-11|0.0|100|695.0|0|0.0|100|0.0|100
0|2021-11-12|0.0|100|697.0|0|0.0|100|0.0|100
0|2021-11-13|0.0|100|697.0|0|0.0|100|0.0|100
0|2021-11-14|0.0|100|697.0|0|0.0|100|0.0|100
0|2021-11-15|0.0|100|698.0|0|0.0|100|0.0|100
0|2021-11-16|0.0|100|699.0|0|0.0|100|0.0|100
0|2021-11-17|0.0|100|701.0|0|0.0|100|0.0|100
0|2021-11-18|0.0|100|704.0|0|0.0|100|0.0|100
0|2021-11-19|0.0|100|705.0|0|0.0|100|0.0|100
0|2021-11-20|0.0|100|705.0|0|0.0|100|0.0|100
0|2021-11-21|0.0|100|705.0|0|0.0|100|0.0|100
0|2021-11-22|0.0|100|710.0|0|0.0|100|0.0|100
0|2021-11-23|0.0|100|712.0|0|0.0|100|0.0|100
0|2021-11-24|0.0|100|714.0|0|0.0|100|0.0|100
0|2021-11-25|0.0|100|714.0|0|0.0|100|0.0|100
0|2021-11-26|0.0|100|714.0|0|0.0|100|0.0|100
0|2021-11-27|0.0|100|714.0|0|0.0|100|0.0|100
0|2021-11-28|0.0|100|714.0|0|0.0|100|0.0|100
0|2021-11-29|0.0|100|716.0|0|0.0|100|0.0|100
0|2021-11-30|0.0|100|720.0|0|0.0|100|0.0|100
0|2021-12-01|0.0|100|721.0|0|0.0|100|0.0|100
0|2021-12-02|0.0|100|723.0|0|0.0|100|0.0|100
0|2021-12-03|0.0|100|723.0|0|0.0|100|0.0|100
0|2021-12-04|0.0|100|723.0|0|0.0|100|0.0|100
0|2021-12-05|0.0|100|723.0|0|0.0|100|0.0|100
0|2021-12-06|0.0|100|725.0|0|0.0|100|0.0|100
0|2021-12-07|0.0|100|727.0|0|0.0|100|0.0|100
0|2021-12-08|0.0|100|728.0|0|0.0|100|0.0|100
0|2021-12-09|0.0|100|729.0|0|0.0|100|0.0|100
0|2021-12-10|0.0|100|731.0|0|0.0|100|0.0|100
0|2021-12-11|0.0|100|731.0|0|0.0|100|0.0|100
0|2021-12-12|0.0|100|731.0|0|0.0|100|0.0|100
0|2021-12-13|0.0|100|733.0|0|0.0|100|0.0|100
0|2021-12-14|0.0|100|736.0|0|0.0|100|0.0|100
0|2021-12-15|0.0|100|738.0|0|0.0|100|0.0|100
0|2021-12-16|0.0|100|738.0|0|0.0|100|0.0|100
0|2021-12-17|0.0|100|740.0|0|0.0|100|0.0|100
0|2021-12-18|0.0|100|740.0|0|0.0|100|0.0|100
0|2021-12-19|0.0|100|740.0|0|0.0|100|0.0|100
0|2021-12-20|0.0|100|742.0|0|0.0|100|0.0|100
0|2021-12-21|0.0|100|745.0|0|0.0|100|0.0|100
0|2021-12-22|0.0|100|747.0|0|0.0|100|0.0|100
0|2021-12-23|0.0|100|748.0|0|0.0|100|0.0|100
0|2021-12-24|0.0|100|748.0|0|0.0|100|0.0|100
0|2021-12-25|0.0|100|748.0|0|0.0|100|0.0|100
0|2021-12-26|0.0|100|748.0|0|0.0|100|0.0|100
0|2021-12-27|0.0|100|757.0|0|0.0|100|0.0|100
0|2021-12-28|0.0|100|761.0|0|0.0|100|0.0|100
0|2021-12-29|0.0|100|765.0|0|0.0|100|0.0|100
0|2021-12-30|0.0|100|767.0|0|0.0|100|0.0|100
0|2021-12-31|0.0|100|767.0|0|0.0|100|0.0|100
0|2022-01-01|0.0|100|767.0|0|0.0|100|0.0|100
0|2022-01-02|0.0|100|767.0|0|0.0|100|0.0|100
0|2022-01-03|0.0|100|771.0|0|0.0|100|0.0|100
0|2022-01-04|0.0|100|783.0|0|0.0|100|0.0|100
0|2022-01-05|0.0|100|783.0|0|0.0|100|0.0|100
