|dates|Denver_Colorado_UnitedStates.BLS_EmployedPopulation.data|Denver_Colorado_UnitedStates.BLS_EmployedPopulation.missing|Denver_Colorado_UnitedStates.BLS_UnemployedPopulation.data|Denver_Colorado_UnitedStates.BLS_UnemployedPopulation.missing|Denver_Colorado_UnitedStates.BLS_UnemploymentRate.data|Denver_Colorado_UnitedStates.BLS_UnemploymentRate.missing|Denver_Colorado_UnitedStates.BLS_LaborForcePopulation.data|Denver_Colorado_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-10-18|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-10-19|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-10-20|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-10-21|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-10-22|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-10-23|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-10-24|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-10-25|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-10-26|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-10-27|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-10-28|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-10-29|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-10-30|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-10-31|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-11-01|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-11-02|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-11-03|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-11-04|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-11-05|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-11-06|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-11-07|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-11-08|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-11-09|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-11-10|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-11-11|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-11-12|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-11-13|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-11-14|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-11-15|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-11-16|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-11-17|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-11-18|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-11-19|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-11-20|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-11-21|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-11-22|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-11-23|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-11-24|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-11-25|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-11-26|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-11-27|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-11-28|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-11-29|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-11-30|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-12-01|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-12-02|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-12-03|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-12-04|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-12-05|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-12-06|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-12-07|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-12-08|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-12-09|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-12-10|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-12-11|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-12-12|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-12-13|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-12-14|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-12-15|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-12-16|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-12-17|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-12-18|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-12-19|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-12-20|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-12-21|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-12-22|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-12-23|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-12-24|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-12-25|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-12-26|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-12-27|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-12-28|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-12-29|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-12-30|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2021-12-31|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2022-01-01|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2022-01-02|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2022-01-03|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2022-01-04|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2022-01-05|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2022-01-06|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2022-01-07|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2022-01-08|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2022-01-09|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2022-01-10|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2022-01-11|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2022-01-12|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2022-01-13|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2022-01-14|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2022-01-15|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2022-01-16|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
0|2022-01-17|404127.0|0|27515.0|0|6.374495531018761|0|431642.0|0
