|dates|Dawes_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Dawes_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Dawes_Nebraska_UnitedStates.Male_Total_Population.data|Dawes_Nebraska_UnitedStates.Male_Total_Population.missing|Dawes_Nebraska_UnitedStates.Female_Total_Population.data|Dawes_Nebraska_UnitedStates.Female_Total_Population.missing|Dawes_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.data|Dawes_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-10-18|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-10-19|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-10-20|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-10-21|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-10-22|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-10-23|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-10-24|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-10-25|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-10-26|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-10-27|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-10-28|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-10-29|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-10-30|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-10-31|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-11-01|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-11-02|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-11-03|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-11-04|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-11-05|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-11-06|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-11-07|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-11-08|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-11-09|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-11-10|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-11-11|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-11-12|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-11-13|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-11-14|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-11-15|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-11-16|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-11-17|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-11-18|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-11-19|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-11-20|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-11-21|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-11-22|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-11-23|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-11-24|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-11-25|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-11-26|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-11-27|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-11-28|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-11-29|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-11-30|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-12-01|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-12-02|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-12-03|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-12-04|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-12-05|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-12-06|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-12-07|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-12-08|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-12-09|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-12-10|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-12-11|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-12-12|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-12-13|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-12-14|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-12-15|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-12-16|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-12-17|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-12-18|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-12-19|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-12-20|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-12-21|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-12-22|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-12-23|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-12-24|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-12-25|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-12-26|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-12-27|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-12-28|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-12-29|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-12-30|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2021-12-31|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2022-01-01|1616.0|0|4348.0|0|4368.0|0|1531.0|0
0|2022-01-02|1616.0|0|4348.0|0|4368.0|0|1531.0|0
