|dates|Davidson_NorthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Davidson_NorthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Davidson_NorthCarolina_UnitedStates.Male_Total_Population.data|Davidson_NorthCarolina_UnitedStates.Male_Total_Population.missing|Davidson_NorthCarolina_UnitedStates.Female_Total_Population.data|Davidson_NorthCarolina_UnitedStates.Female_Total_Population.missing|Davidson_NorthCarolina_UnitedStates.MaleAndFemale_Under18_Population.data|Davidson_NorthCarolina_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-10-18|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-10-19|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-10-20|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-10-21|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-10-22|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-10-23|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-10-24|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-10-25|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-10-26|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-10-27|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-10-28|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-10-29|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-10-30|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-10-31|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-11-01|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-11-02|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-11-03|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-11-04|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-11-05|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-11-06|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-11-07|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-11-08|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-11-09|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-11-10|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-11-11|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-11-12|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-11-13|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-11-14|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-11-15|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-11-16|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-11-17|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-11-18|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-11-19|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-11-20|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-11-21|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-11-22|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-11-23|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-11-24|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-11-25|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-11-26|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-11-27|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-11-28|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-11-29|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-11-30|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-12-01|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-12-02|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-12-03|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-12-04|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-12-05|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-12-06|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-12-07|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-12-08|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-12-09|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-12-10|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-12-11|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-12-12|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-12-13|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-12-14|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-12-15|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-12-16|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-12-17|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-12-18|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-12-19|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-12-20|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-12-21|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-12-22|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-12-23|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-12-24|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-12-25|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-12-26|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-12-27|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-12-28|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-12-29|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-12-30|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2021-12-31|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2022-01-01|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2022-01-02|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2022-01-03|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2022-01-04|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2022-01-05|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2022-01-06|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2022-01-07|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2022-01-08|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2022-01-09|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2022-01-10|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2022-01-11|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2022-01-12|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2022-01-13|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2022-01-14|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2022-01-15|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2022-01-16|30377.0|0|81509.0|0|85105.0|0|36559.0|0
0|2022-01-17|30377.0|0|81509.0|0|85105.0|0|36559.0|0
