|dates|Canyon_Idaho_UnitedStates.BLS_EmployedPopulation.data|Canyon_Idaho_UnitedStates.BLS_EmployedPopulation.missing|Canyon_Idaho_UnitedStates.BLS_UnemployedPopulation.data|Canyon_Idaho_UnitedStates.BLS_UnemployedPopulation.missing|Canyon_Idaho_UnitedStates.BLS_UnemploymentRate.data|Canyon_Idaho_UnitedStates.BLS_UnemploymentRate.missing|Canyon_Idaho_UnitedStates.BLS_LaborForcePopulation.data|Canyon_Idaho_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-10-18|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-10-19|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-10-20|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-10-21|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-10-22|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-10-23|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-10-24|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-10-25|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-10-26|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-10-27|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-10-28|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-10-29|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-10-30|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-10-31|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-11-01|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-11-02|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-11-03|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-11-04|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-11-05|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-11-06|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-11-07|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-11-08|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-11-09|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-11-10|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-11-11|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-11-12|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-11-13|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-11-14|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-11-15|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-11-16|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-11-17|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-11-18|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-11-19|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-11-20|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-11-21|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-11-22|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-11-23|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-11-24|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-11-25|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-11-26|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-11-27|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-11-28|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-11-29|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-11-30|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-12-01|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-12-02|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-12-03|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-12-04|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-12-05|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-12-06|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-12-07|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-12-08|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-12-09|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-12-10|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-12-11|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-12-12|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-12-13|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-12-14|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-12-15|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-12-16|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-12-17|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-12-18|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-12-19|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-12-20|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-12-21|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-12-22|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-12-23|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-12-24|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-12-25|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-12-26|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-12-27|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-12-28|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-12-29|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-12-30|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2021-12-31|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2022-01-01|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2022-01-02|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2022-01-03|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2022-01-04|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2022-01-05|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2022-01-06|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2022-01-07|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
0|2022-01-08|103597.0|0|3495.0|0|3.263549097971837|0|107092.0|0
