|dates|SanJuan_NewMexico_UnitedStates.MaleAndFemale_AtLeast65_Population.data|SanJuan_NewMexico_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|SanJuan_NewMexico_UnitedStates.Male_Total_Population.data|SanJuan_NewMexico_UnitedStates.Male_Total_Population.missing|SanJuan_NewMexico_UnitedStates.Female_Total_Population.data|SanJuan_NewMexico_UnitedStates.Female_Total_Population.missing|SanJuan_NewMexico_UnitedStates.MaleAndFemale_Under18_Population.data|SanJuan_NewMexico_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-19|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-11-20|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-11-21|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-11-22|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-11-23|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-11-24|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-11-25|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-11-26|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-11-27|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-11-28|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-11-29|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-11-30|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-12-01|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-12-02|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-12-03|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-12-04|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-12-05|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-12-06|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-12-07|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-12-08|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-12-09|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-12-10|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-12-11|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-12-12|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-12-13|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-12-14|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-12-15|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-12-16|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-12-17|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-12-18|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-12-19|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-12-20|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-12-21|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-12-22|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-12-23|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-12-24|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-12-25|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-12-26|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-12-27|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-12-28|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-12-29|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-12-30|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-12-31|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2022-01-01|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2022-01-02|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2022-01-03|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2022-01-04|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2022-01-05|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2022-01-06|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2022-01-07|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2022-01-08|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2022-01-09|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2022-01-10|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2022-01-11|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2022-01-12|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2022-01-13|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2022-01-14|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2022-01-15|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2022-01-16|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2022-01-17|18685.0|0|61898.0|0|63145.0|0|33054.0|0
