|dates|Clinch_Georgia_UnitedStates.BLS_EmployedPopulation.data|Clinch_Georgia_UnitedStates.BLS_EmployedPopulation.missing|Clinch_Georgia_UnitedStates.BLS_UnemployedPopulation.data|Clinch_Georgia_UnitedStates.BLS_UnemployedPopulation.missing|Clinch_Georgia_UnitedStates.BLS_UnemploymentRate.data|Clinch_Georgia_UnitedStates.BLS_UnemploymentRate.missing|Clinch_Georgia_UnitedStates.BLS_LaborForcePopulation.data|Clinch_Georgia_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-10-18|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-10-19|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-10-20|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-10-21|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-10-22|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-10-23|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-10-24|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-10-25|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-10-26|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-10-27|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-10-28|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-10-29|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-10-30|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-10-31|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-11-01|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-11-02|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-11-03|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-11-04|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-11-05|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-11-06|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-11-07|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-11-08|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-11-09|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-11-10|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-11-11|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-11-12|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-11-13|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-11-14|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-11-15|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-11-16|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-11-17|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-11-18|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-11-19|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-11-20|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-11-21|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-11-22|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-11-23|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-11-24|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-11-25|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-11-26|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-11-27|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-11-28|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-11-29|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-11-30|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-12-01|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-12-02|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-12-03|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-12-04|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-12-05|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-12-06|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-12-07|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-12-08|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-12-09|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-12-10|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-12-11|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-12-12|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-12-13|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-12-14|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-12-15|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-12-16|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-12-17|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-12-18|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-12-19|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-12-20|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-12-21|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-12-22|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-12-23|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-12-24|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-12-25|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-12-26|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-12-27|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-12-28|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-12-29|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-12-30|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2021-12-31|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2022-01-01|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2022-01-02|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2022-01-03|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2022-01-04|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2022-01-05|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2022-01-06|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2022-01-07|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2022-01-08|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2022-01-09|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2022-01-10|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2022-01-11|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2022-01-12|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2022-01-13|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2022-01-14|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2022-01-15|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2022-01-16|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
0|2022-01-17|3033.0|0|91.0|0|2.912932138284251|0|3124.0|0
