|dates|Johnston_NorthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Johnston_NorthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Johnston_NorthCarolina_UnitedStates.Male_Total_Population.data|Johnston_NorthCarolina_UnitedStates.Male_Total_Population.missing|Johnston_NorthCarolina_UnitedStates.Female_Total_Population.data|Johnston_NorthCarolina_UnitedStates.Female_Total_Population.missing|Johnston_NorthCarolina_UnitedStates.MaleAndFemale_Under18_Population.data|Johnston_NorthCarolina_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-10-18|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-10-19|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-10-20|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-10-21|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-10-22|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-10-23|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-10-24|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-10-25|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-10-26|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-10-27|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-10-28|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-10-29|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-10-30|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-10-31|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-11-01|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-11-02|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-11-03|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-11-04|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-11-05|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-11-06|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-11-07|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-11-08|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-11-09|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-11-10|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-11-11|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-11-12|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-11-13|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-11-14|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-11-15|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-11-16|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-11-17|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-11-18|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-11-19|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-11-20|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-11-21|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-11-22|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-11-23|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-11-24|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-11-25|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-11-26|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-11-27|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-11-28|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-11-29|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-11-30|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-12-01|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-12-02|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-12-03|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-12-04|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-12-05|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-12-06|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-12-07|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-12-08|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-12-09|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-12-10|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-12-11|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-12-12|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-12-13|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-12-14|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-12-15|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-12-16|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-12-17|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-12-18|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-12-19|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-12-20|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-12-21|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-12-22|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-12-23|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-12-24|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-12-25|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-12-26|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-12-27|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-12-28|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-12-29|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-12-30|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2021-12-31|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2022-01-01|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2022-01-02|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2022-01-03|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2022-01-04|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2022-01-05|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2022-01-06|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2022-01-07|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2022-01-08|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2022-01-09|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2022-01-10|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2022-01-11|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2022-01-12|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2022-01-13|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2022-01-14|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2022-01-15|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2022-01-16|26989.0|0|99289.0|0|103386.0|0|51654.0|0
0|2022-01-17|26989.0|0|99289.0|0|103386.0|0|51654.0|0
