|dates|Weld_Colorado_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Weld_Colorado_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Weld_Colorado_UnitedStates.Male_Total_Population.data|Weld_Colorado_UnitedStates.Male_Total_Population.missing|Weld_Colorado_UnitedStates.Female_Total_Population.data|Weld_Colorado_UnitedStates.Female_Total_Population.missing|Weld_Colorado_UnitedStates.MaleAndFemale_Under18_Population.data|Weld_Colorado_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-10-18|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-10-19|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-10-20|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-10-21|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-10-22|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-10-23|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-10-24|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-10-25|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-10-26|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-10-27|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-10-28|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-10-29|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-10-30|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-10-31|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-11-01|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-11-02|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-11-03|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-11-04|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-11-05|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-11-06|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-11-07|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-11-08|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-11-09|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-11-10|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-11-11|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-11-12|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-11-13|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-11-14|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-11-15|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-11-16|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-11-17|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-11-18|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-11-19|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-11-20|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-11-21|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-11-22|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-11-23|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-11-24|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-11-25|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-11-26|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-11-27|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-11-28|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-11-29|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-11-30|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-12-01|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-12-02|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-12-03|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-12-04|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-12-05|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-12-06|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-12-07|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-12-08|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-12-09|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-12-10|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-12-11|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-12-12|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-12-13|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-12-14|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-12-15|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-12-16|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-12-17|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-12-18|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-12-19|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-12-20|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-12-21|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-12-22|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-12-23|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-12-24|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-12-25|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-12-26|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-12-27|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-12-28|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-12-29|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-12-30|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2021-12-31|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2022-01-01|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2022-01-02|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2022-01-03|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2022-01-04|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2022-01-05|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2022-01-06|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2022-01-07|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2022-01-08|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2022-01-09|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2022-01-10|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2022-01-11|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2022-01-12|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2022-01-13|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2022-01-14|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2022-01-15|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2022-01-16|38224.0|0|158475.0|0|155830.0|0|82497.0|0
0|2022-01-17|38224.0|0|158475.0|0|155830.0|0|82497.0|0
